workflow_id,workflow_name,domain,team,stakeholder,signal_count,avg_pain_score,avg_urgency_score,requirements_clarity,automation_fit,data_sensitivity,process_complexity,effort,agent_eval_pass_rate,data_quality_pass_rate,training_readiness,priority_score,recommendation,problem,agent_goal
AGT-010,Internal AI Agent Review Coach,AI operations,Product operations,AI program lead,35,8.2,7.9,5.6,87,62,69,41,72.5,85.3,89.5,87.6,Pilot now,Teams need a common rubric for reviewing agent outputs before internal workflows spread across departments.,"Score agent drafts, identify missing guardrails, suggest prompt improvements, and prepare coaching notes for builders."
AGT-009,Sales Discovery Call Synthesizer,Sales intelligence,Sales,Sales leader,20,7.9,7.3,6.0,91,51,57,38,77.0,84.9,75.5,87.4,Pilot now,"Sales teams need reliable discovery summaries that identify use case, data need, urgency, decision process, and next action.",Turn call notes into structured opportunity intelligence and product feedback without losing customer nuance.
AGT-007,Customer Training Workshop Agent,Enablement,Customer success,Enablement lead,29,6.4,7.2,5.9,92,42,48,34,82.1,85.9,93.9,84.9,Pilot now,Customer-facing teams need role-specific training packs when new identity intelligence workflows launch.,"Convert release notes, FAQs, and workflow examples into workshop agendas, scripts, and practice exercises."
AGT-001,Identity Resolution Intake Agent,Identity infrastructure,Product,Platform product manager,30,8.7,7.2,5.4,84,74,76,54,67.1,79.1,84.4,80.8,Pilot now,Platform teams need to convert broad data onboarding requests into precise identity match requirements before engineering starts.,"Read discovery notes and produce a source-to-match specification with identifiers, confidence thresholds, exception handling, and approval gates."
AGT-003,Lead Builder Audience QA Agent,Marketing intelligence,Growth product,Sales enablement lead,24,7.4,6.8,5.7,90,68,63,46,73.5,85.7,76.6,79.4,Pilot now,"Sales and marketing teams need to validate audience filters, expected volume, pricing, and suppression rules before a lead list is activated.","Inspect the requested audience, flag impossible or risky criteria, and produce a buyer-ready fulfillment brief."
AGT-008,Data Quality Drift Digest Agent,Data quality,Data operations,Data operations lead,17,8.3,6.6,5.8,88,71,74,52,65.4,85.3,74.6,73.5,Spec and repair,"Data operations teams need digestible drift summaries when source freshness, match rates, and exception volumes move together.","Review quality metrics, explain likely drivers, draft follow-up checks, and prepare the weekly stakeholder note."
AGT-005,Data Delivery Onboarding Agent,Data delivery,Implementation,Implementation manager,27,8.0,7.0,5.3,86,78,80,58,67.6,80.1,73.5,71.7,Spec and repair,"Implementation teams need faster handoffs for API, batch, Snowflake, and cloud-storage data delivery decisions.","Synthesize client requirements into delivery mode, schema mapping, refresh cadence, test plan, and launch blockers."
AGT-002,Fraud Signal Reason Code Agent,Fraud and risk,Risk products,Risk product lead,23,8.2,6.5,5.7,78,86,82,67,62.9,76.5,74.4,61.2,Monitor,"Risk teams need explainable reason-code summaries when phone, email, address, and identity signals point to elevated risk.","Summarize risk drivers, confidence, and human review needs from structured signal outputs and policy notes."
AGT-004,Investigation Research Brief Agent,Investigations,Customer operations,Investigation support manager,25,6.7,6.2,5.7,69,89,85,70,53.7,71.9,77.0,30.4,Monitor,Research teams need structured briefs that separate verified identity context from leads that still require review.,"Turn research notes and public-record extracts into a concise brief with citations, confidence labels, and unresolved questions."
AGT-006,Compliance Exception Review Agent,Governance,Compliance,Compliance operations lead,30,7.0,5.8,4.8,66,94,88,72,50.0,81.2,68.9,27.3,Monitor,Teams need a repeatable review of data-use exceptions before a customer-facing workflow is approved.,"Classify the request, identify policy conflicts, draft reviewer questions, and route to the right approver."
