signal_id,signal_date,workflow_id,signal_type,stakeholder_team,pain_score,urgency_score,requirements_clarity,sample_note
SIG-0001,2026-01-05,AGT-001,stakeholder interview,Product,7.4,8.6,5.0,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0002,2026-01-06,AGT-005,sales note,Implementation,7.8,7.0,8.7,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0003,2026-01-07,AGT-003,training request,Growth product,5.7,7.4,6.2,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0004,2026-01-08,AGT-001,support escalation,Product,9.4,6.9,5.5,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0005,2026-01-09,AGT-009,training request,Sales,8.3,6.6,7.2,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0006,2026-01-10,AGT-006,quality review,Compliance,4.8,6.4,5.1,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0007,2026-01-11,AGT-010,stakeholder interview,Product operations,8.7,6.5,4.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0008,2026-01-12,AGT-006,sales note,Compliance,6.6,4.8,3.2,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0009,2026-01-13,AGT-004,quality review,Customer operations,5.5,6.9,3.5,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0010,2026-01-14,AGT-006,quality review,Compliance,7.1,7.3,5.3,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0011,2026-01-15,AGT-008,training request,Data operations,6.5,2.9,5.6,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0012,2026-01-16,AGT-010,stakeholder interview,Product operations,7.9,9.6,4.9,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0013,2026-01-17,AGT-010,training request,Product operations,8.0,7.5,4.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0014,2026-01-18,AGT-001,stakeholder interview,Product,6.8,6.7,5.4,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0015,2026-01-19,AGT-006,sales note,Compliance,9.1,5.8,6.2,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0016,2026-01-20,AGT-008,quality review,Data operations,8.9,7.2,6.2,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0017,2026-01-21,AGT-004,stakeholder interview,Customer operations,7.5,5.6,7.6,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0018,2026-01-22,AGT-003,stakeholder interview,Growth product,7.0,3.9,7.0,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0019,2026-01-23,AGT-003,quality review,Growth product,6.1,8.6,5.8,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0020,2026-01-24,AGT-005,sales note,Implementation,8.9,8.6,5.6,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0021,2026-01-25,AGT-003,operations retro,Growth product,5.2,7.0,6.5,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0022,2026-01-26,AGT-002,support escalation,Risk products,8.3,7.6,5.4,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0023,2026-01-27,AGT-006,training request,Compliance,7.1,4.7,3.3,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0024,2026-01-28,AGT-008,training request,Data operations,8.2,7.3,6.1,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0025,2026-01-29,AGT-002,support escalation,Risk products,7.7,7.4,7.1,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0026,2026-01-30,AGT-007,sales note,Customer success,6.8,8.0,5.4,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0027,2026-01-31,AGT-001,quality review,Product,10,9.3,4.2,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0028,2026-02-01,AGT-003,stakeholder interview,Growth product,6.4,5.1,4.2,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0029,2026-02-02,AGT-004,support escalation,Customer operations,7.8,3.7,5.6,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0030,2026-02-03,AGT-001,stakeholder interview,Product,9.6,7.1,4.1,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0031,2026-02-04,AGT-003,support escalation,Growth product,4.6,7.3,4.5,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0032,2026-02-05,AGT-002,training request,Risk products,7.5,8.6,6.3,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0033,2026-02-06,AGT-001,operations retro,Product,9.7,5.9,3.7,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0034,2026-02-07,AGT-002,sales note,Risk products,7.2,7.4,6.3,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0035,2026-02-08,AGT-002,support escalation,Risk products,6.7,4.0,6.2,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0036,2026-02-09,AGT-010,sales note,Product operations,10.0,10,6.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0037,2026-02-10,AGT-005,operations retro,Implementation,9.1,9.6,4.4,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0038,2026-02-11,AGT-003,quality review,Growth product,9.5,9.2,3.8,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0039,2026-02-12,AGT-005,training request,Implementation,8.0,7.1,4.3,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0040,2026-02-13,AGT-003,sales note,Growth product,7.1,6.9,5.6,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0041,2026-02-14,AGT-006,training request,Compliance,6.8,5.8,4.7,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0042,2026-02-15,AGT-001,support escalation,Product,7.9,3.6,6.3,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
